time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/std,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/learning_rate
2443,8192,3,1,17.403677740000003,20.85,,,,,,,,,,,
1611,16384,10,2,22.953035239999995,25.7,0.3527859600522788,0.010275165,0.9894449710845947,0.2,0.11802978515625,0.1103365421295166,-0.010961555375797617,-0.5801087617874146,-4.233464564755559,10,0.0003
2345,8192,3,1,56.26530922,45.45,0.27616446730680766,0.01769045,0.9665315747261047,0.2,0.2489501953125,0.0866234228014946,-0.031164402610738762,0.44912731647491455,-4.168233512341976,20,0.0003
1680,16384,9,2,115.03703718999999,76.27,0.4964635517448187,0.016822254,0.9465020298957825,0.2,0.231640625,0.25693005323410034,-0.02914766413014149,0.4701976180076599,-4.106988869607449,30,0.0003
1526,24576,16,3,146.10713017,84.62,0.4179241379839368,0.011917183,0.9339690208435059,0.2,0.1505859375,0.15870437026023865,-0.01987671816277725,0.2731478810310364,-4.059226743504405,40,0.0003
1464,32768,22,4,137.20389846,77.47,0.3076675880467519,0.010576665,0.9171126484870911,0.2,0.1310302734375,0.1517748087644577,-0.01699892226515658,0.3302667737007141,-4.011659680120647,50,0.0003
1426,40960,28,5,175.31099338,91.25,0.32083359697135166,0.011205832,0.9154306054115295,0.2,0.14886474609375,0.12441721558570862,-0.019490783289074897,0.36238396167755127,-3.991186405904591,60,0.0003
1405,49152,34,6,213.61299345,105.41,0.21079787465860136,0.011253935,0.8968611359596252,0.2,0.13531494140625,0.14815494418144226,-0.01606340441467182,0.5820690393447876,-3.9456882288679482,70,0.0003
1390,57344,41,7,231.3787995,110.75,0.07832494104513898,0.00955423,0.8766975402832031,0.2,0.11214599609375,0.030375204980373383,-0.01101664326779428,0.824025109410286,-3.8796918326988816,80,0.0003
1379,65536,47,8,238.68283287999998,112.83,0.028124723619839642,0.008668947,0.8762345910072327,0.2,0.111572265625,0.0166995320469141,-0.009050869744169177,0.9230090081691742,-3.859660379588604,90,0.0003
1369,73728,53,9,243.18807546,114.77,0.039619988109188854,0.010461357,0.8767857551574707,0.2,0.1424560546875,-0.011318011209368706,-0.012094432205230987,0.9305065274238586,-3.8611322732642295,100,0.0003
1363,81920,60,10,258.69592877,119.32,0.02098949243554671,0.010972945,0.8754755854606628,0.2,0.14013671875,0.017653465270996094,-0.012722706121348893,0.9636528566479683,-3.85592673830688,110,0.0003
1357,90112,66,11,270.52582505,122.18,0.010069320814363892,0.0093839355,0.8630222678184509,0.2,0.1256103515625,-0.01710350066423416,-0.014322597126556503,0.982470091432333,-3.82383639421314,120,0.0003
1352,98304,72,12,283.97637907000006,126.04,0.019898251320410055,0.013287254,0.8445820808410645,0.2,0.15079345703125,0.0031523779034614563,-0.01682779165894317,0.9697816260159016,-3.766378000937402,130,0.0003
1348,106496,78,13,301.17884254999996,130.62,0.010329047340565011,0.011059962,0.8305685520172119,0.2,0.1504150390625,0.023663459345698357,-0.016490975658234673,0.9837381932884455,-3.710579578205943,140,0.0003
1344,114688,85,14,315.16924424000007,134.6,0.007941890338588563,0.011498436,0.8174476623535156,0.2,0.135791015625,-0.037103015929460526,-0.014482075047271791,0.9830578193068504,-3.6656189208850263,150,0.0003
1343,122880,91,15,331.39776098999994,138.91,0.0062559555800362435,0.011126352,0.8049254417419434,0.2,0.1381591796875,-0.04014761745929718,-0.014955309622382628,0.9907306162640452,-3.6189665785059333,160,0.0003
1340,131072,97,16,340.28642969,140.77,0.00298721277167715,0.011274977,0.7894886136054993,0.2,0.127880859375,0.019207200035452843,-0.013099549207981908,0.9940355736762285,-3.5612125884741546,170,0.0003
1338,139264,104,17,348.93459687,142.99,0.016144026225083506,0.012744177,0.7719102501869202,0.2,0.152734375,0.0023693174589425325,-0.013157397172108176,0.9780473317950964,-3.503019246831536,180,0.0003
1337,147456,110,18,363.39397052,146.6,0.002960930817926055,0.013235143,0.7580991387367249,0.2,0.1544189453125,-0.042969878762960434,-0.013636370715175872,0.9941181419417262,-3.437121240980923,190,0.0003
1335,155648,116,19,372.9938816699999,148.72,0.002215413605927097,0.010713959,0.7457365989685059,0.2,0.12841796875,-0.02879922278225422,-0.011565895855528651,0.9969786973670125,-3.3886344783008098,200,0.0003
1334,163840,122,20,382.92962795,150.55,0.002328116207218045,0.011680452,0.7278265953063965,0.2,0.132470703125,-0.008400049060583115,-0.012773980168731214,0.9963351469486952,-3.3231403760612013,210,0.0003
1333,172032,129,21,391.9513359099999,152.2,0.0016370576464396435,0.010663601,0.7116492390632629,0.2,0.12493896484375,-0.008724885061383247,-0.010804840348282597,0.9974843678064644,-3.249166605621576,220,0.0003
1331,180224,135,22,397.42906996,153.39,0.001670421856260873,0.012370156,0.6956300735473633,0.2,0.14462890625,-0.013379130512475967,-0.011903203699330334,0.9976407182402909,-3.1827959701418878,230,0.0003
1330,188416,141,23,403.71636877,154.89,0.0011912854065258215,0.010725595,0.6857443451881409,0.2,0.12574462890625,-0.002892463468015194,-0.008819731649236929,0.9980848676059395,-3.1287206180393694,240,0.0003
1329,196608,147,24,410.1882444800001,156.15,0.0011049034238340028,0.011348638,0.6743483543395996,0.2,0.1421142578125,-0.021958056837320328,-0.010991504773846828,0.9984675365267321,-3.0767605673521756,250,0.0003
1329,204800,154,25,412.91867337,156.03,0.0006596170763259579,0.011923855,0.6618058681488037,0.2,0.13289794921875,0.006570222321897745,-0.010361897475013393,0.9990152150858194,-3.0286080572754144,260,0.0003
1328,212992,160,26,417.91586304000003,156.72,0.011566106990017033,0.012842629,0.6501244306564331,0.2,0.1701171875,-0.005089478101581335,-0.007817286456793226,0.9859012477099895,-2.9697516856715085,270,0.0003
1328,221184,166,27,425.17299195,158.4,0.0005395207162223415,0.011323659,0.6415058970451355,0.2,0.1440185546875,-0.02410782314836979,-0.007835336373500468,0.9971294868737459,-2.918975113146007,280,0.0003
1328,229376,172,28,430.07486278,159.49,0.00066114610291379,0.013080338,0.6231415271759033,0.2,0.1476318359375,0.009521118365228176,-0.009680488544108811,0.9985586456023157,-2.842403915338218,290,0.0003
1327,237568,178,29,432.64929897999986,159.63,0.0005273606689002008,0.014185596,0.6066746115684509,0.2,0.15421142578125,-0.002732709050178528,-0.011439459443136003,0.9991327376337722,-2.7571930484846234,300,0.0003
1327,245760,185,30,437.3772178,160.4,0.0005428647624739824,0.012620995,0.5931329131126404,0.2,0.142431640625,-0.029116744175553322,-0.009684852726422832,0.9991720877005719,-2.6923640118911862,310,0.0003
1326,253952,191,31,450.01896643999993,162.95,0.0024526648000801287,0.014914462,0.5820450782775879,0.2,0.1531982421875,-0.007669156417250633,-0.0073401166195253605,0.9899526163935661,-2.628482611477375,320,0.0003
1326,262144,197,32,467.1470127999999,166.14,0.001719896311078628,0.012879381,0.5721158981323242,0.2,0.15338134765625,-0.019583595916628838,-0.012559439821416163,0.9962936153169721,-2.5671292785555124,330,0.0003
1326,270336,203,33,488.4547466800001,170.86,0.002403082026694392,0.0133445915,0.5618780851364136,0.2,0.17177734375,-0.022448033094406128,-0.012782938798591204,0.9951384952291846,-2.509465157240629,340,0.0003
