rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/n_updates
20.13522368539326,2048,22.876404494382022,1,1040,1,,,,,,,,,,,
23.586433860000003,4096,24.23,2,895,4,-0.01939439695706824,0.6617441826499999,-4.250928200781345,0.9950618147850037,0.0003,0.2,0.118896484375,0.08352405577898026,-0.325115442276001,0.0122911185,10
37.704058409999995,6144,32.48,3,848,7,-0.03332717245357344,0.4168664400931448,-4.222537359595298,0.9834444522857666,0.0003,0.2,0.216357421875,0.13881859183311462,0.39503294229507446,0.019459795,20
58.05356794,8192,43.62,4,817,10,-0.029657909407978876,0.5309623482637107,-4.175835786759853,0.9656738638877869,0.0003,0.2,0.21240234375,0.2281251847743988,0.4004613161087036,0.018598646,30
75.94669773,10240,52.9,5,807,12,-0.01755623424105579,0.42284624110907315,-4.141316664218903,0.9586002230644226,0.0003,0.2,0.117431640625,0.1217581182718277,0.1819016933441162,0.010686613,40
95.38809821000001,12288,62.04,6,799,15,-0.01599878395354608,0.26982636940665544,-4.128484529256821,0.9578848481178284,0.0003,0.2,0.1216796875,0.08716637641191483,0.4257890582084656,0.009593502,50
104.46699694999998,14336,65.55,7,791,18,-0.02110250219120644,0.20870461068116128,-4.116097675263882,0.9504114985466003,0.0003,0.2,0.18173828125,0.06643392145633698,0.6225926280021667,0.0143485945,60
122.91784543000001,16384,73.69,8,785,20,-0.02647356405213941,0.16480871383100748,-4.090270288288593,0.9431368708610535,0.0003,0.2,0.19580078125,0.06644296646118164,0.7674917727708817,0.014979428,70
144.00322235,18432,81.97,9,783,23,-0.022853085104725324,0.1372822927311063,-4.068290279805661,0.9356660842895508,0.0003,0.2,0.1720703125,0.05356326699256897,0.7410656213760376,0.013549875,80
159.86352842,20480,89.2,10,782,26,-0.017505692022677977,0.10188089844305068,-4.046616511046887,0.9302861094474792,0.0003,0.2,0.143310546875,0.016058403998613358,0.8305912613868713,0.014042867,90
179.61822022,22528,98.27,11,778,28,-0.013161043787840753,0.08591285894508474,-4.037944610416889,0.9293033480644226,0.0003,0.2,0.087353515625,0.022951342165470123,0.833499014377594,0.008169769,100
200.90570768,24576,107.48,12,775,31,-0.012706072557193693,0.02583365966856945,-4.026265576481819,0.9236823916435242,0.0003,0.2,0.114892578125,-0.0020058704540133476,0.940490372478962,0.009707538,110
211.05892673000005,26624,111.65,13,773,34,-0.010050181194674223,0.013052556803449989,-4.022195024788379,0.9260396361351013,0.0003,0.2,0.07763671875,-0.01859954372048378,0.96904256939888,0.0075604827,120
218.17732114000003,28672,114.77,14,771,37,-0.014673483252408914,0.009345655556535349,-4.009574669599533,0.918835461139679,0.0003,0.2,0.124462890625,-0.02222832478582859,0.9836177155375481,0.010825448,130
224.80077573,30720,117.4,15,770,39,-0.01759368851198815,0.007292132610018598,-3.9697645761072637,0.9017410278320312,0.0003,0.2,0.125,-0.02215047925710678,0.9893158655613661,0.011668153,140
233.76855025,32768,120.46,16,770,42,-0.016091239480010698,0.006183247263834346,-3.9305915482342244,0.8952379822731018,0.0003,0.2,0.140966796875,-0.025172704830765724,0.9910944299772382,0.012061386,150
239.49649847000003,34816,122.05,17,770,45,-0.02092942303279415,0.004423750488058431,-3.8820631749928,0.8753643035888672,0.0003,0.2,0.1509765625,-0.009204769507050514,0.9940679701976478,0.0128541235,160
244.23748267999997,36864,123.58,18,769,47,-0.01805337343539577,0.005035152578057023,-3.8237114869058133,0.8605114817619324,0.0003,0.2,0.141455078125,-0.01703525334596634,0.99158039316535,0.013077022,170
251.05509949,38912,126.25,19,768,50,-0.018508620490320028,0.0049094780410086965,-3.7658341020345687,0.8408090472221375,0.0003,0.2,0.150341796875,-0.012016817927360535,0.9935492435470223,0.013107039,180
259.01814689,40960,129.25,20,768,53,-0.018590336805209516,0.004350936993432697,-3.7156503923237323,0.831337034702301,0.0003,0.2,0.142138671875,-0.009228764101862907,0.993065595626831,0.010198229,190
269.12109378,43008,134.51,21,768,55,-0.02358122916193679,0.003879653445619624,-3.6782949820160864,0.8210591673851013,0.0003,0.2,0.182421875,-0.04543599113821983,0.993322039488703,0.012181251,200
278.44476962,45056,139.35,22,768,58,-0.015427450329298154,0.0034752084233332426,-3.6479472391307355,0.8137446045875549,0.0003,0.2,0.14345703125,-0.020044585689902306,0.9911459488794208,0.010833353,210
287.77426148,47104,144.26,23,769,61,-0.012074450962245464,0.0023066104244207964,-3.6144748732447622,0.8052160739898682,0.0003,0.2,0.11689453125,0.022151468321681023,0.9941575457341969,0.009238357,220
